Monte Carlo Time Steps	Energy
0	-3072.0
1	-3000.0
2	-2924.0
3	-2860.0
4	-2808.0
5	-2772.0
6	-2776.0
7	-2920.0
8	-2832.0
9	-2812.0
10	-2780.0
11	-2832.0
12	-2740.0
13	-2712.0
14	-2768.0
15	-2780.0
16	-2844.0
17	-2788.0
18	-2840.0
19	-2776.0
20	-2776.0
21	-2728.0
22	-2740.0
23	-2812.0
24	-2760.0
25	-2764.0
26	-2824.0
27	-2792.0
28	-2764.0
29	-2744.0
30	-2828.0
31	-2860.0
32	-2868.0
33	-2880.0
34	-2856.0
35	-2816.0
36	-2868.0
37	-2844.0
38	-2784.0
39	-2784.0
40	-2812.0
41	-2808.0
42	-2780.0
43	-2852.0
44	-2852.0
45	-2776.0
46	-2828.0
47	-2888.0
48	-2852.0
49	-2796.0
50	-2808.0
51	-2792.0
52	-2844.0
53	-2792.0
54	-2828.0
55	-2824.0
56	-2844.0
57	-2844.0
58	-2848.0
59	-2884.0
60	-2900.0
61	-2860.0
62	-2796.0
63	-2788.0
64	-2748.0
65	-2748.0
66	-2704.0
67	-2692.0
68	-2708.0
69	-2692.0
70	-2840.0
71	-2812.0
72	-2836.0
73	-2780.0
74	-2816.0
75	-2888.0
76	-2868.0
77	-2788.0
78	-2928.0
79	-2836.0
80	-2964.0
81	-3008.0
82	-2976.0
83	-2856.0
84	-2916.0
85	-2824.0
86	-2896.0
87	-2824.0
88	-2828.0
89	-2784.0
90	-2676.0
91	-2688.0
92	-2656.0
93	-2672.0
94	-2780.0
95	-2728.0
96	-2828.0
97	-2828.0
98	-2780.0
99	-2864.0
100	-2804.0
101	-2808.0
102	-2888.0
103	-2852.0
104	-2848.0
105	-2816.0
106	-2816.0
107	-2776.0
108	-2756.0
109	-2784.0
110	-2808.0
111	-2764.0
112	-2780.0
113	-2732.0
114	-2784.0
115	-2780.0
116	-2784.0
117	-2812.0
118	-2812.0
119	-2828.0
120	-2744.0
121	-2740.0
122	-2752.0
123	-2708.0
124	-2740.0
125	-2616.0
126	-2672.0
127	-2684.0
128	-2692.0
129	-2688.0
130	-2712.0
131	-2768.0
132	-2780.0
133	-2796.0
134	-2812.0
135	-2808.0
136	-2736.0
137	-2676.0
138	-2840.0
139	-2832.0
140	-2764.0
141	-2832.0
142	-2840.0
143	-2896.0
144	-2816.0
145	-2804.0
146	-2852.0
147	-2760.0
148	-2752.0
149	-2780.0
150	-2772.0
151	-2824.0
152	-2832.0
153	-2852.0
154	-2840.0
155	-2796.0
156	-2868.0
157	-2768.0
158	-2820.0
159	-2860.0
160	-2800.0
161	-2816.0
162	-2764.0
163	-2708.0
164	-2708.0
165	-2712.0
166	-2616.0
167	-2716.0
168	-2780.0
169	-2748.0
170	-2732.0
171	-2764.0
172	-2796.0
173	-2792.0
174	-2744.0
175	-2740.0
176	-2728.0
177	-2776.0
178	-2740.0
179	-2824.0
180	-2856.0
181	-2852.0
182	-2784.0
183	-2828.0
184	-2792.0
185	-2860.0
186	-2876.0
187	-2852.0
188	-2768.0
189	-2808.0
190	-2908.0
191	-2808.0
192	-2812.0
193	-2760.0
194	-2804.0
195	-2744.0
196	-2864.0
197	-2864.0
198	-2840.0
199	-2692.0
200	-2680.0
201	-2692.0
202	-2700.0
203	-2724.0
204	-2760.0
205	-2736.0
206	-2852.0
207	-2824.0
208	-2876.0
209	-2864.0
210	-2788.0
211	-2760.0
212	-2784.0
213	-2804.0
214	-2844.0
215	-2836.0
216	-2848.0
217	-2832.0
218	-2784.0
219	-2776.0
220	-2748.0
221	-2784.0
222	-2924.0
223	-2864.0
224	-2752.0
225	-2668.0
226	-2736.0
227	-2796.0
228	-2780.0
229	-2732.0
230	-2760.0
231	-2784.0
232	-2764.0
233	-2728.0
234	-2744.0
235	-2748.0
236	-2772.0
237	-2868.0
238	-2788.0
239	-2732.0
240	-2792.0
241	-2824.0
242	-2844.0
243	-2804.0
244	-2748.0
245	-2744.0
246	-2716.0
247	-2812.0
248	-2840.0
249	-2852.0
250	-2796.0
251	-2776.0
252	-2856.0
253	-2840.0
254	-2784.0
255	-2868.0
256	-2844.0
257	-2700.0
258	-2656.0
259	-2804.0
260	-2860.0
261	-2900.0
262	-2852.0
263	-2884.0
264	-2872.0
265	-2740.0
266	-2692.0
267	-2732.0
268	-2832.0
269	-2856.0
270	-2796.0
271	-2736.0
272	-2804.0
273	-2768.0
274	-2804.0
275	-2676.0
276	-2700.0
277	-2748.0
278	-2748.0
279	-2744.0
280	-2708.0
281	-2648.0
282	-2688.0
283	-2656.0
284	-2728.0
285	-2652.0
286	-2684.0
287	-2664.0
288	-2708.0
289	-2792.0
290	-2808.0
291	-2756.0
292	-2672.0
293	-2720.0
294	-2764.0
295	-2776.0
296	-2732.0
297	-2748.0
298	-2868.0
299	-2820.0
300	-2764.0
301	-2740.0
302	-2772.0
303	-2800.0
304	-2820.0
305	-2836.0
306	-2756.0
307	-2732.0
308	-2736.0
309	-2796.0
310	-2744.0
311	-2672.0
312	-2628.0
313	-2700.0
314	-2792.0
315	-2676.0
316	-2672.0
317	-2792.0
318	-2736.0
319	-2688.0
320	-2748.0
321	-2728.0
322	-2692.0
323	-2844.0
324	-2828.0
325	-2776.0
326	-2804.0
327	-2804.0
328	-2812.0
329	-2824.0
330	-2848.0
331	-2832.0
332	-2788.0
333	-2900.0
334	-2728.0
335	-2760.0
336	-2740.0
337	-2716.0
338	-2876.0
339	-2800.0
340	-2760.0
341	-2796.0
342	-2868.0
343	-2924.0
344	-2868.0
345	-2892.0
346	-2840.0
347	-2840.0
348	-2804.0
349	-2836.0
350	-2776.0
351	-2860.0
352	-2892.0
353	-2800.0
354	-2860.0
355	-2800.0
356	-2816.0
357	-2748.0
358	-2852.0
359	-2812.0
360	-2852.0
361	-2912.0
362	-2912.0
363	-2924.0
364	-2836.0
365	-2912.0
366	-2812.0
367	-2804.0
368	-2820.0
369	-2828.0
370	-2784.0
371	-2812.0
372	-2876.0
373	-2776.0
374	-2684.0
375	-2680.0
376	-2692.0
377	-2748.0
378	-2784.0
379	-2832.0
380	-2728.0
381	-2828.0
382	-2856.0
383	-2880.0
384	-2896.0
385	-2904.0
386	-2860.0
387	-2852.0
388	-2796.0
389	-2924.0
390	-2868.0
391	-2812.0
392	-2908.0
393	-2864.0
394	-2788.0
395	-2784.0
396	-2700.0
397	-2736.0
398	-2800.0
399	-2808.0
400	-2836.0
401	-2776.0
402	-2744.0
403	-2764.0
404	-2780.0
405	-2816.0
406	-2860.0
407	-2840.0
408	-2860.0
409	-2772.0
410	-2684.0
411	-2736.0
412	-2804.0
413	-2816.0
414	-2760.0
415	-2844.0
416	-2788.0
417	-2760.0
418	-2836.0
419	-2724.0
420	-2740.0
421	-2816.0
422	-2788.0
423	-2796.0
424	-2772.0
425	-2752.0
426	-2724.0
427	-2716.0
428	-2720.0
429	-2760.0
430	-2808.0
431	-2796.0
432	-2724.0
433	-2796.0
434	-2860.0
435	-2732.0
436	-2676.0
437	-2768.0
438	-2676.0
439	-2760.0
440	-2780.0
441	-2772.0
442	-2716.0
443	-2712.0
444	-2676.0
445	-2696.0
446	-2800.0
447	-2704.0
448	-2684.0
449	-2752.0
450	-2776.0
451	-2776.0
452	-2768.0
453	-2760.0
454	-2800.0
455	-2860.0
456	-2780.0
457	-2724.0
458	-2672.0
459	-2664.0
460	-2716.0
461	-2852.0
462	-2844.0
463	-2844.0
464	-2824.0
465	-2828.0
466	-2812.0
467	-2788.0
468	-2756.0
469	-2776.0
470	-2808.0
471	-2760.0
472	-2676.0
473	-2664.0
474	-2696.0
475	-2756.0
476	-2836.0
477	-2736.0
478	-2828.0
479	-2912.0
480	-2820.0
481	-2856.0
482	-2888.0
483	-2808.0
484	-2828.0
485	-2748.0
486	-2768.0
487	-2732.0
488	-2828.0
489	-2812.0
490	-2860.0
491	-2824.0
492	-2892.0
493	-2844.0
494	-2824.0
495	-2876.0
496	-2920.0
497	-2944.0
498	-2864.0
499	-2860.0
500	-2804.0
501	-2816.0
502	-2736.0
503	-2772.0
504	-2756.0
505	-2784.0
506	-2752.0
507	-2816.0
508	-2760.0
509	-2736.0
510	-2728.0
511	-2736.0
512	-2720.0
513	-2804.0
514	-2784.0
515	-2832.0
516	-2744.0
517	-2788.0
518	-2824.0
519	-2756.0
520	-2892.0
521	-2876.0
522	-2856.0
523	-2792.0
524	-2796.0
525	-2896.0
526	-2912.0
527	-2912.0
528	-2964.0
529	-2892.0
530	-2808.0
531	-2772.0
532	-2772.0
533	-2704.0
534	-2824.0
535	-2808.0
536	-2868.0
537	-2804.0
538	-2844.0
539	-2892.0
540	-2932.0
541	-2852.0
542	-2896.0
543	-2820.0
544	-2880.0
545	-2860.0
546	-2844.0
547	-2784.0
548	-2756.0
549	-2776.0
550	-2772.0
551	-2740.0
552	-2788.0
553	-2752.0
554	-2812.0
555	-2808.0
556	-2684.0
557	-2716.0
558	-2688.0
559	-2708.0
560	-2776.0
561	-2828.0
562	-2772.0
563	-2764.0
564	-2808.0
565	-2760.0
566	-2760.0
567	-2848.0
568	-2800.0
569	-2828.0
570	-2740.0
571	-2808.0
572	-2808.0
573	-2776.0
574	-2884.0
575	-2896.0
576	-2888.0
577	-2856.0
578	-2844.0
579	-2808.0
580	-2752.0
581	-2704.0
582	-2708.0
583	-2716.0
584	-2720.0
585	-2780.0
586	-2780.0
587	-2816.0
588	-2852.0
589	-2848.0
590	-2756.0
591	-2740.0
592	-2696.0
593	-2692.0
594	-2688.0
595	-2736.0
596	-2828.0
597	-2700.0
598	-2700.0
599	-2780.0
600	-2748.0
601	-2776.0
602	-2844.0
603	-2808.0
604	-2724.0
605	-2656.0
606	-2688.0
607	-2716.0
608	-2732.0
609	-2700.0
610	-2756.0
611	-2704.0
612	-2752.0
613	-2764.0
614	-2760.0
615	-2716.0
616	-2792.0
617	-2764.0
618	-2760.0
619	-2800.0
620	-2820.0
621	-2832.0
622	-2820.0
623	-2892.0
624	-2828.0
625	-2848.0
626	-2800.0
627	-2836.0
628	-2788.0
629	-2784.0
630	-2796.0
631	-2748.0
632	-2788.0
633	-2816.0
634	-2764.0
635	-2828.0
636	-2832.0
637	-2884.0
638	-2888.0
639	-2888.0
640	-2860.0
641	-2904.0
642	-2944.0
643	-2920.0
644	-2944.0
645	-2868.0
646	-2828.0
647	-2776.0
648	-2840.0
649	-2808.0
650	-2832.0
651	-2908.0
652	-2868.0
653	-2824.0
654	-2804.0
655	-2752.0
656	-2848.0
657	-2892.0
658	-2840.0
659	-2844.0
660	-2924.0
661	-2876.0
662	-2880.0
663	-2872.0
664	-2872.0
665	-2836.0
666	-2828.0
667	-2808.0
668	-2752.0
669	-2800.0
670	-2856.0
671	-2808.0
672	-2816.0
673	-2820.0
674	-2884.0
675	-2872.0
676	-2880.0
677	-2816.0
678	-2832.0
679	-2788.0
680	-2808.0
681	-2732.0
682	-2736.0
683	-2796.0
684	-2712.0
685	-2816.0
686	-2792.0
687	-2780.0
688	-2764.0
689	-2856.0
690	-2876.0
691	-2864.0
692	-2864.0
693	-2796.0
694	-2744.0
695	-2716.0
696	-2684.0
697	-2788.0
698	-2868.0
699	-2892.0
700	-2772.0
701	-2804.0
702	-2752.0
703	-2760.0
704	-2768.0
705	-2832.0
706	-2812.0
707	-2768.0
708	-2628.0
709	-2752.0
710	-2692.0
711	-2680.0
712	-2720.0
713	-2732.0
714	-2788.0
715	-2756.0
716	-2804.0
717	-2732.0
718	-2724.0
719	-2780.0
720	-2868.0
721	-2832.0
722	-2836.0
723	-2724.0
724	-2772.0
725	-2780.0
726	-2776.0
727	-2832.0
728	-2804.0
729	-2844.0
730	-2836.0
731	-2768.0
732	-2816.0
733	-2912.0
734	-2840.0
735	-2860.0
736	-2744.0
737	-2768.0
738	-2864.0
739	-2856.0
740	-2864.0
741	-2856.0
742	-2888.0
743	-2796.0
744	-2828.0
745	-2780.0
746	-2744.0
747	-2696.0
748	-2620.0
749	-2692.0
750	-2724.0
751	-2812.0
752	-2752.0
753	-2724.0
754	-2828.0
755	-2776.0
756	-2796.0
757	-2772.0
758	-2900.0
759	-2872.0
760	-2900.0
761	-2768.0
762	-2740.0
763	-2696.0
764	-2796.0
765	-2708.0
766	-2756.0
767	-2788.0
768	-2928.0
769	-2904.0
770	-2788.0
771	-2840.0
772	-2904.0
773	-2868.0
774	-2872.0
775	-2848.0
776	-2860.0
777	-2808.0
778	-2704.0
779	-2632.0
780	-2604.0
781	-2728.0
782	-2776.0
783	-2868.0
784	-2908.0
785	-2856.0
786	-2796.0
787	-2824.0
788	-2808.0
789	-2780.0
790	-2764.0
791	-2744.0
792	-2704.0
793	-2688.0
794	-2752.0
795	-2724.0
796	-2724.0
797	-2728.0
798	-2736.0
799	-2800.0
800	-2812.0
801	-2816.0
802	-2780.0
803	-2804.0
804	-2708.0
