Monte Carlo Time Steps	Magnetization
0	0.97875
1	0.965
2	0.9525
3	0.94
4	0.92625
5	0.91875
6	0.91375
7	0.94375
8	0.92875
9	0.925
10	0.915
11	0.9275
12	0.91
13	0.8925
14	0.9125
15	0.915
16	0.92
17	0.92
18	0.9325
19	0.9025
20	0.91375
21	0.8975
22	0.90625
23	0.91875
24	0.90625
25	0.9125
26	0.9325
27	0.91375
28	0.92125
29	0.91125
30	0.92625
31	0.94
32	0.9375
33	0.93625
34	0.93125
35	0.92375
36	0.92625
37	0.93
38	0.91875
39	0.91
40	0.91875
41	0.91125
42	0.90625
43	0.92
44	0.925
45	0.91625
46	0.92125
47	0.94125
48	0.92875
49	0.91375
50	0.92
51	0.91125
52	0.9225
53	0.91875
54	0.92625
55	0.92375
56	0.92
57	0.92
58	0.92125
59	0.92875
60	0.9275
61	0.92375
62	0.90375
63	0.90875
64	0.9
65	0.89375
66	0.8925
67	0.87875
68	0.8875
69	0.8875
70	0.91375
71	0.90875
72	0.9125
73	0.8975
74	0.91875
75	0.935
76	0.92375
77	0.92
78	0.94375
79	0.92375
80	0.95625
81	0.96875
82	0.96125
83	0.93625
84	0.945
85	0.92
86	0.9375
87	0.92125
88	0.92875
89	0.90875
90	0.89375
91	0.88875
92	0.875
93	0.88375
94	0.9
95	0.8975
96	0.92
97	0.92375
98	0.9075
99	0.9225
100	0.91375
101	0.9075
102	0.925
103	0.92625
104	0.92375
105	0.9125
106	0.90875
107	0.89625
108	0.89875
109	0.9175
110	0.92375
111	0.915
112	0.91875
113	0.90375
114	0.905
115	0.905
116	0.9025
117	0.92
118	0.91
119	0.925
120	0.90625
121	0.91
122	0.90625
123	0.88625
124	0.89875
125	0.86875
126	0.88625
127	0.8825
128	0.9
129	0.89375
130	0.90375
131	0.91125
132	0.92
133	0.92625
134	0.9225
135	0.9275
136	0.9025
137	0.89125
138	0.9125
139	0.92125
140	0.91625
141	0.93
142	0.93
143	0.9375
144	0.9275
145	0.92375
146	0.93375
147	0.91625
148	0.91375
149	0.92
150	0.915
151	0.93375
152	0.925
153	0.93125
154	0.92875
155	0.915
156	0.9325
157	0.9075
158	0.91875
159	0.9325
160	0.915
161	0.9225
162	0.91875
163	0.90125
164	0.89625
165	0.9
166	0.88375
167	0.90125
168	0.90375
169	0.89625
170	0.885
171	0.9
172	0.90625
173	0.9075
174	0.905
175	0.90125
176	0.91375
177	0.9225
178	0.9025
179	0.93
180	0.925
181	0.93
182	0.9175
183	0.92625
184	0.91375
185	0.93
186	0.93125
187	0.925
188	0.91125
189	0.92625
190	0.94
191	0.9275
192	0.9275
193	0.915
194	0.92
195	0.90625
196	0.92
197	0.92
198	0.90125
199	0.87
200	0.8775
201	0.86125
202	0.875
203	0.88875
204	0.90125
205	0.8975
206	0.91375
207	0.91875
208	0.9225
209	0.925
210	0.9125
211	0.905
212	0.9125
213	0.91625
214	0.92375
215	0.9125
216	0.91625
217	0.9125
218	0.91125
219	0.91125
220	0.9075
221	0.92125
222	0.94375
223	0.9275
224	0.9075
225	0.885
226	0.905
227	0.91625
228	0.91375
229	0.89875
230	0.90625
231	0.8975
232	0.89125
233	0.87875
234	0.8925
235	0.89875
236	0.9075
237	0.925
238	0.91125
239	0.9025
240	0.92
241	0.93
242	0.93625
243	0.91375
244	0.9
245	0.89375
246	0.90625
247	0.9275
248	0.925
249	0.9225
250	0.9075
251	0.8925
252	0.90625
253	0.905
254	0.8925
255	0.92
256	0.92625
257	0.89375
258	0.89
259	0.90875
260	0.92125
261	0.92625
262	0.9275
263	0.94
264	0.93625
265	0.9075
266	0.90875
267	0.90375
268	0.92125
269	0.91125
270	0.8975
271	0.885
272	0.9
273	0.88625
274	0.8825
275	0.86
276	0.8575
277	0.86125
278	0.86875
279	0.8675
280	0.865
281	0.86125
282	0.8525
283	0.82875
284	0.83875
285	0.83
286	0.8475
287	0.84125
288	0.85
289	0.86
290	0.87125
291	0.87
292	0.85875
293	0.86875
294	0.8825
295	0.87
296	0.8775
297	0.87375
298	0.91375
299	0.90375
300	0.90375
301	0.9025
302	0.91
303	0.90375
304	0.91875
305	0.915
306	0.9
307	0.89625
308	0.89625
309	0.90375
310	0.8775
311	0.85875
312	0.86875
313	0.87125
314	0.8825
315	0.86125
316	0.8725
317	0.88875
318	0.86375
319	0.86
320	0.86875
321	0.865
322	0.86875
323	0.90125
324	0.90125
325	0.895
326	0.9
327	0.90375
328	0.90375
329	0.92125
330	0.9225
331	0.92125
332	0.9175
333	0.92875
334	0.90375
335	0.90625
336	0.90625
337	0.9025
338	0.94
339	0.92625
340	0.915
341	0.92125
342	0.93875
343	0.9475
344	0.93875
345	0.94
346	0.92625
347	0.93375
348	0.92375
349	0.92875
350	0.91125
351	0.93375
352	0.93125
353	0.915
354	0.9275
355	0.92375
356	0.91875
357	0.91375
358	0.93125
359	0.92
360	0.935
361	0.945
362	0.94625
363	0.94625
364	0.9325
365	0.94625
366	0.925
367	0.9275
368	0.92125
369	0.93
370	0.91625
371	0.92625
372	0.93625
373	0.9075
374	0.89
375	0.87875
376	0.895
377	0.91375
378	0.92
379	0.9275
380	0.91
381	0.92625
382	0.93
383	0.9425
384	0.94375
385	0.9425
386	0.9325
387	0.9325
388	0.92
389	0.95
390	0.93375
391	0.92125
392	0.94
393	0.93
394	0.91875
395	0.915
396	0.90375
397	0.91
398	0.91625
399	0.9175
400	0.92
401	0.90625
402	0.90375
403	0.915
404	0.91875
405	0.93
406	0.9275
407	0.9275
408	0.92
409	0.9125
410	0.8975
411	0.8925
412	0.9175
413	0.925
414	0.90875
415	0.92375
416	0.91625
417	0.90375
418	0.91125
419	0.89875
420	0.915
421	0.92
422	0.915
423	0.91625
424	0.91125
425	0.9
426	0.8875
